1;1;Joao;12345678900;queijo,presunto;Coca-Cola;2025-08-23T17:56:39.555790800
1;1;jihf;56646;;0.0;2025-08-24T18:44:44.795426800
1;1;,bjk;265651456;;0.0;2025-08-24T18:46:23.083936100
1;1;,bjk;265651456;;0.0;2025-08-24T18:48:11.722475900
2;2;bjhg;5656;;0.0;2025-08-24T18:48:35.024471700
1;1;dfgh;2557;;0.0;2025-08-24T18:51:15.562473100
1;1;mo;8;;0.0;2025-08-24T18:54:54.174921700
1;1;çlm;ml;;0.0;2025-08-24T18:56:24.871636200
2;2;csvsd;52752;;0.0;2025-08-24T19:01:58.410691400
1;1;jbed;546;;0.0;DINHEIRO;2025-08-25T16:46:49.234916300
1;1;hbouh;215345;;0.0;PIX;2025-08-25T17:53:07.344772500
3;3;sdfgsr;35456;;0.0;DINHEIRO;2025-08-25T17:55:57.426840300
1;1;jl;po76;;0.0;PIX;2025-08-25T17:59:54.190195200
2;2;jl;po76;;0.0;DINHEIRO;2025-08-25T18:02:22.386351700
3;3;jl;07857508516;;0.0;DINHEIRO;2025-08-25T18:03:33.058339300
2;2;bnjwdle;6545646;;0.0;DINHEIRO;2025-08-25T18:19:28.469924100
2;2;wdeq;74568;;0.0;DINHEIRO;2025-08-25T18:23:15.052864400
2;2;wdeq;74568;;0.0;PIX;2025-08-25T18:28:07.571000300
2;2;giuqweg;56646;;0.0;PIX;2025-08-25T18:38:31.033929900
1;1;wefrjl2;45321;;0.0;DINHEIRO;2025-08-25T20:02:10.191669600
1;1;eklmwf;84516;;0.0;PIX;2025-08-25T22:34:42.466106200
